STABBR,TOT_AMIND_ALA,TOT_ASIAN,TOT_BLACK_AFAM,TOT_HISP_LAT,TOT_HAWAIAN_PACISL,TOT_WHITE,TOT_TWOORMORE,TOT_UNKNOWN,TOT_ALIEN
AK,3782,1355,929,2430,608,17682,3018,4132,457
AL,1825,5394,78880,13070,375,188665,8880,12595,6835
AR,1154,2897,28070,12904,274,109660,7052,2087,3922
AS,0,6,0,0,1138,4,2,0,122
AZ,15993,25041,74441,183386,2870,313411,27787,76187,13219
CA,11164,465574,201528,1364693,14564,788903,142039,195191,111517
CO,3767,14004,27372,75194,1154,221526,17878,35410,9240
CT,590,10274,28366,33741,242,100468,9408,9646,6616
DC,291,3379,16716,7128,119,23577,2427,3700,5600
DE,361,2381,13289,6497,145,31834,2266,2426,2263
FL,3554,40874,219009,355412,2491,485228,42327,60853,40362
FM,0,1,0,0,2445,1,0,15,0
GA,1932,29831,187319,50785,761,246915,18522,12787,14184
GU,13,2672,43,38,2968,156,2,123,30
HI,157,21784,1295,9308,4265,10293,19707,1613,3698
IA,974,7009,14502,17917,358,168997,6204,16056,7799
ID,1115,2566,1685,17156,728,118132,8674,7357,9870
IL,1862,51337,102359,175571,973,408648,23270,31405,21233
IN,1363,15435,50504,37749,706,332928,20320,19697,15121
KS,2945,7449,19371,27849,602,148911,10053,10530,12179
KY,591,4847,23496,11587,256,198935,9095,13234,3272
LA,1730,5462,77802,13963,1866,125491,8123,10464,4958
MA,771,35099,40540,56340,352,217127,14977,32927,33352
MD,1113,27614,105921,40664,993,152364,16719,15821,14197
ME,653,1843,3086,2367,87,58642,2264,10228,1354
MH,0,9,0,0,1303,13,3,1,0
MI,3249,23048,65771,32131,570,365239,21506,28800,17478
MN,2939,23004,42571,24761,442,241154,14492,22805,10794
MO,1632,10321,40013,21485,686,244747,13963,12736,8987
MP,0,537,4,13,642,15,95,50,87
MS,937,2518,66928,5110,137,99806,3630,4299,1906
MT,4634,539,472,2272,108,39358,2252,2640,929
NC,6857,20474,134613,58215,839,332737,21542,25129,12354
ND,2599,722,1862,2340,70,40607,2097,2433,1919
NE,1280,4488,8251,17086,254,99228,4622,7035,4285
NH,976,3993,24001,18054,528,121449,4939,23960,1898
NJ,944,41278,60751,97701,940,189198,11310,30446,15430
NM,14628,2641,3847,69505,320,40163,3284,6886,2245
NV,923,13797,10575,40002,1327,50571,9451,5636,1558
NY,4447,119576,174612,243024,1981,542584,34340,59438,66012
OH,1929,21230,89283,36535,896,501624,28445,32327,21315
OK,14583,6056,15556,21137,310,110273,19899,5222,7300
OR,2635,14878,6574,39318,1610,153656,16313,24661,8843
PA,1159,31066,67877,47093,554,354115,19433,29109,17930
PR,286,70,1996,192405,35,1305,200,3478,184
PW,0,13,0,0,637,1,0,0,0
RI,260,3584,5975,11548,57,46861,3035,6535,3001
SC,944,4680,61782,14579,318,151881,9289,6907,3403
SD,3547,807,2095,2241,70,44923,1762,1120,1286
TN,999,8343,61835,18255,442,214580,11328,8699,5700
TX,6494,117654,235918,778498,2646,617090,54553,36648,40528
UT,2928,10826,19302,45653,2896,282597,15455,25687,7086
VA,1813,39487,107201,55920,1291,292454,25440,31825,13834
VI,5,16,1479,249,3,113,25,172,115
VT,147,1268,1491,2475,31,34624,1732,2393,1687
WA,4243,38755,19173,58917,2731,203534,32717,46187,20617
WI,3153,14710,20878,29691,382,266829,10809,9916,9478
WV,824,2827,17654,14429,896,114661,6225,9825,3712
WY,604,311,455,3610,67,29390,1141,2692,595
